Abr, Qual, Level
BFLS , Bachelor of Financial and Legal Studies,Bachelor's Level Qualifications
BFST , Bachelor of Food Science and Technology,Bachelor's Level Qualifications
BH , Bachelor of Humanities,Bachelor's Level Qualifications
BHealthSc , Bachelor of Health Sciences,Bachelor's Level Qualifications
BHSc , Bachelor of Health Science,Bachelor's Level Qualifications
BHy , Bachelor of Hygiene,Bachelor's Level Qualifications
REPLACETHISLATER , Bachelor of International Business Administration,Bachelor's Level Qualifications
BJur , Bachelor of Jurisprudence,Bachelor's Level Qualifications
BL , Bachelor of Law,Bachelor's Level Qualifications
BLE , Bachelor of Land Economy,Bachelor's Level Qualifications
BLegSc , Bachelor of Legal Science,Bachelor's Level Qualifications
BLib , Bachelor of Librarianship,Bachelor's Level Qualifications
BLing , Bachelor of Linguistics,Bachelor's Level Qualifications
BLitt , Bachelor of Letters,Bachelor's Level Qualifications
BLittCelt , Bachelor of Celtic Letters,Bachelor's Level Qualifications
BLS , Bachelor of Library Studies,Bachelor's Level Qualifications
BMedSc , Bachelor of Medical Sciences,Bachelor's Level Qualifications
BMet , Bachelor of Metallurgy,Bachelor's Level Qualifications
BMid , Bachelor of Midwifery,Bachelor's Level Qualifications
BMin , Bachelor of Ministry,Bachelor's Level Qualifications
BMS , Bachelor of Midwifery Studies,Bachelor's Level Qualifications
BMSc , Bachelor of Medical Science,Bachelor's Level Qualifications
BMSc , Bachelor of Biomedical science,Bachelor's Level Qualifications
BMS , Bachelor of Management Studies,Bachelor's Level Qualifications
BMus , Bachelor of Music,Bachelor's Level Qualifications
BMusEd , Bachelor of Music Education,Bachelor's Level Qualifications
BMusPerf , Bachelor of Music Performance,Bachelor's Level Qualifications
BN , Bachelor of Nursing,Bachelor's Level Qualifications
BNS , Bachelor of Nursing Studies,Bachelor's Level Qualifications
BNurs , Bachelor of Nursing,Bachelor's Level Qualifications
BOptom , Bachelor of Clinical Optometry,Bachelor's Level Qualifications
BPA , Bachelor of Public Administration,Bachelor's Level Qualifications
BPharm , Bachelor of Pharmacy,Bachelor's Level Qualifications
BPhil , Bachelor of Philosophy,Bachelor's Level Qualifications
BPhil(Ed) , Bachelor of Philosophy in Education,Bachelor's Level Qualifications
BPhys , Bachelor of Physics,Bachelor's Level Qualifications
BPhysio , Bachelor of Physiotherapy,Bachelor's Level Qualifications
BPl , Bachelor of Planning,Bachelor's Level Qualifications
BRadiog , Bachelor of Radiography,Bachelor's Level Qualifications
BSc , Bachelor of Science,Bachelor's Level Qualifications
BScAgr , Bachelor of Science in Agriculture,Bachelor's Level Qualifications
BSc(Dairy) , Bachelor of Science in Dairying,Bachelor's Level Qualifications
BSc(DomSc) , Bachelor of Science in Domestic Science,Bachelor's Level Qualifications
BScEc , Bachelor of Economic and Social Studies,Bachelor's Level Qualifications
BScEcon , Bachelor of Economic Science,Bachelor's Level Qualifications
BSc(Econ) , Bachelor of Science in Economics,Bachelor's Level Qualifications
BSc(Eng) , Bachelor of Science in Engineering,Bachelor's Level Qualifications
BScFor , Bachelor of Science in Forestry,Bachelor's Level Qualifications
BSc(HealthSc) , Bachelor of Science in Health Science,Bachelor's Level Qualifications
BSc(Hort) , Bachelor of Science in Horticulture,Bachelor's Level Qualifications
BSc(MCRM) , Bachelor of Science in Marine and Coastal Reserve Management,Bachelor's Level Qualifications
BSc(Med) , Bachelor of Science in Medicine,Bachelor's Level Qualifications
BSc(Mid) , Bachelor of SHRM,Bachelor's Level Qualifications
BSc(Min) , Bachelor of Science in Mining,Bachelor's Level Qualifications
BScPH , Bachelor of Science in Public Health,Bachelor's Level Qualifications
BSc(Psych) , Bachelor of Science in Psychology,Bachelor's Level Qualifications
BSc(Tech) , Bachelor of Science in Technology,Bachelor's Level Qualifications
BSD , Bachelor of Science in Dentistry,Bachelor's Level Qualifications
BSocSc , Bachelor of Social Sciences,Bachelor's Level Qualifications
BSS , Bachelor of Social Studies,Bachelor's Level Qualifications
BStSu , Bachelor of Deaf Studies,Bachelor's Level Qualifications
BTchg, Bachelor of Teaching,Bachelor's Level Qualifications
BTCP , Bachelor of Town and County Planning,Bachelor's Level Qualifications
BTech , Bachelor of Technology,Bachelor's Level Qualifications
BTechEd , Bachelor of Technological Education,Bachelor's Level Qualifications
BTh , Bachelor of Theology,Bachelor's Level Qualifications
BTheol , Bachelor of Theology,Bachelor's Level Qualifications
BTS , Bachelor of Theatre Studies,Bachelor's Level Qualifications
EdB , Bachelor of Education,Bachelor's Level Qualifications
LittB , Bachelor of Literature or Bachelor of Letters,Bachelor's Level Qualifications
LLB , Bachelor of Laws,Bachelor's Level Qualifications
MA , Master of Arts (ancient Scottish universities),Bachelor's Level Qualifications
MusB , Bachelor of Music,Bachelor's Level Qualifications
ScBTech , Bachelor of Science in Technology,Bachelor's Level Qualifications
ThB , Bachelor of Theology,Bachelor's Level Qualifications
